protocol_id,branch_id,branch_name,dimension,proxy_expected_value,fresh_mt5_runtime_value,difference_proxy_minus_fresh_mt5,difference_status,proxy_source,mt5_source,independence_improvement,usable_for_diagnostic_consistency,usable_for_forward_pass_fail,reason,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,trades_per_day,7.1928666667,,,missing_fresh_runtime_dimension,run334D_all_six_reconciliation_trades_per_day,fresh_run335K_runtime_reports_aggregate,fresh_runtime_dimension_missing,false,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,expectancy,0.59,0.59,0,numeric_difference_available,run334D_all_six_reconciliation_expectancy,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,recovery_factor,1.1783333333,1.17833333333,-3.3333558136e-11,numeric_difference_available,run334D_all_six_reconciliation_recovery_factor,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,curve_pocket,-65.4966666667,1.44,-66.9366666667,numeric_difference_available,run334D_cost_curve_guard_worst_curve_net_mean,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,underwater_stretch,0.4871820681,,,missing_fresh_runtime_dimension,run334D_cost_curve_guard_underwater_trade_share,fresh_run335K_runtime_reports_aggregate,fresh_runtime_dimension_missing,false,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,lot_normalized_result,1008,6047.5,-5039.5,numeric_difference_available,run334D_cost_curve_guard_linear_1lot_normalization,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,spread_slippage_stress,-348.2,,,missing_fresh_runtime_dimension,run334D_cost_curve_guard_cost_plus_200_net,fresh_run335K_runtime_reports_aggregate,fresh_runtime_dimension_missing,false,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,session_hour_regime,-74.01,1.44,-75.45,numeric_difference_available,run334D_all_six_reconciliation_worst_slice_net,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,long_short_attribution,100.8,604.75,-503.95,numeric_difference_available,run334D_attribution_buy_minus_abs_sell_net,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,net_profit,100.8,100.791666667,0.00833333333333,numeric_difference_available,run334G_attempt_failure_memory_headline_net_profit,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,profit_factor,1.2366666667,1.23666666667,3.33333360913e-11,numeric_difference_available,run334G_attempt_failure_memory_headline_profit_factor,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,max_drawdown,113.475,113.475,-1.42108547152e-14,numeric_difference_available,run334D_all_six_reconciliation_equity_dd_amount,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,trades_per_day,7.1928666667,,,missing_fresh_runtime_dimension,run334D_all_six_reconciliation_trades_per_day,fresh_run335K_runtime_reports_aggregate,fresh_runtime_dimension_missing,false,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,expectancy,0.59,0.59,0,numeric_difference_available,run334D_all_six_reconciliation_expectancy,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,recovery_factor,1.1783333333,1.17833333333,-3.3333558136e-11,numeric_difference_available,run334D_all_six_reconciliation_recovery_factor,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,curve_pocket,-65.4966666667,1.44,-66.9366666667,numeric_difference_available,run334D_cost_curve_guard_worst_curve_net_mean,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,underwater_stretch,0.4871820681,,,missing_fresh_runtime_dimension,run334D_cost_curve_guard_underwater_trade_share,fresh_run335K_runtime_reports_aggregate,fresh_runtime_dimension_missing,false,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,lot_normalized_result,1008,6047.5,-5039.5,numeric_difference_available,run334D_cost_curve_guard_linear_1lot_normalization,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,spread_slippage_stress,-348.2,,,missing_fresh_runtime_dimension,run334D_cost_curve_guard_cost_plus_200_net,fresh_run335K_runtime_reports_aggregate,fresh_runtime_dimension_missing,false,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,session_hour_regime,-74.01,1.44,-75.45,numeric_difference_available,run334D_all_six_reconciliation_worst_slice_net,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,long_short_attribution,100.8,604.75,-503.95,numeric_difference_available,run334D_attribution_buy_minus_abs_sell_net,fresh_run335K_runtime_reports_aggregate,fresh_runtime_report_and_telemetry_identity_materialized,true,false,"fresh MT5 runtime was independently rerun, but proxy numeric values remain aggregate diagnostics and not a branch-specific forward pass/fail basis",research_development_only_stage336K_fresh_mt5_runtime_probe_attempt_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
